SegmentID,Name,Type,Value,StartLine,EndLine,Length
SEG_0000,Book was,Book,was,2972,6997,4025
SEG_0001,Folder 32,Folder,32,6998,7005,7
SEG_0003,Folder 32,Folder,32,7008,7013,5
SEG_0005,Folder 32,Folder,32,7016,7019,3
SEG_0007,Folder 32,Folder,32,7022,7025,3
SEG_0009,Folder 32,Folder,32,7028,7038,10
SEG_0010,Folder 32,Folder,32,7039,7050,11
SEG_0012,Folder 32,Folder,32,7053,7060,7
SEG_0014,Folder 32,Folder,32,7063,7070,7
SEG_0016,Folder 32,Folder,32,7073,7086,13
SEG_0018,Folder 32,Folder,32,7089,7095,6
SEG_0019,Folder 32,Folder,32,7096,7106,10
SEG_0020,Folder 32,Folder,32,7107,8395,1288
SEG_0021,Part 1,Part,1,8396,8431,35
SEG_0023,Part 2,Part,2,8434,13808,5374
SEG_0024,Folder 02,Folder,02,13809,13820,11
SEG_0026,Folder 02,Folder,02,13823,13826,3
SEG_0028,Folder 02,Folder,02,13829,13836,7
SEG_0030,Folder 02,Folder,02,13839,13842,3
SEG_0033,Folder 02,Folder,02,13848,13851,3
SEG_0035,Folder 02,Folder,02,13854,13859,5
SEG_0037,Folder 02,Folder,02,13862,13865,3
SEG_0039,Folder 02,Folder,02,13868,13871,3
SEG_0042,Folder 02,Folder,02,13877,13880,3
SEG_0044,Folder 02,Folder,02,13883,13886,3
SEG_0046,Folder 02,Folder,02,13889,13894,5
SEG_0048,Folder 02,Folder,02,13897,13900,3
SEG_0051,Folder 02,Folder,02,13906,13909,3
SEG_0053,Folder 02,Folder,02,13912,13915,3
SEG_0055,Folder 02,Folder,02,13918,13921,3
SEG_0057,Folder 02,Folder,02,13924,13927,3
SEG_0060,Folder 02,Folder,02,13933,13936,3
SEG_0062,Folder 02,Folder,02,13939,13942,3
SEG_0064,Folder 02,Folder,02,13945,13948,3
SEG_0066,Folder 02,Folder,02,13951,13954,3
SEG_0068,Folder 02,Folder,02,13957,13965,8
SEG_0069,Folder 02,Folder,02,13966,13969,3
SEG_0071,Folder 02,Folder,02,13972,13975,3
SEG_0073,Folder 02,Folder,02,13978,13981,3
SEG_0075,Folder 02,Folder,02,13984,13987,3
SEG_0077,Folder 02,Folder,02,13990,13994,4
SEG_0078,Folder 02,Folder,02,13995,13998,3
SEG_0080,Folder 02,Folder,02,14001,14004,3
SEG_0082,Folder 02,Folder,02,14007,14010,3
SEG_0084,Folder 02,Folder,02,14013,14016,3
SEG_0086,Folder 02,Folder,02,14019,14023,4
SEG_0087,Folder 02,Folder,02,14024,14027,3
SEG_0089,Folder 02,Folder,02,14030,14033,3
SEG_0091,Folder 02,Folder,02,14036,14039,3
SEG_0093,Folder 02,Folder,02,14042,14045,3
SEG_0095,Folder 02,Folder,02,14048,14052,4
SEG_0096,Folder 02,Folder,02,14053,14060,7
SEG_0098,Folder 02,Folder,02,14063,14070,7
SEG_0100,Folder 02,Folder,02,14073,14080,7
SEG_0102,Folder 02,Folder,02,14083,14090,7
SEG_0104,Folder 02,Folder,02,14093,14097,4
SEG_0105,Folder 02,Folder,02,14098,14101,3
SEG_0107,Folder 02,Folder,02,14104,14107,3
SEG_0109,Folder 02,Folder,02,14110,14113,3
SEG_0111,Folder 02,Folder,02,14116,14121,5
SEG_0114,Part one,Part,one,14127,14132,5
SEG_0115,Folder 02,Folder,02,14133,14149,16
SEG_0117,Folder 02,Folder,02,14152,14157,5
SEG_0119,Folder 02,Folder,02,14160,14163,3
SEG_0121,Folder 02,Folder,02,14166,14175,9
SEG_0123,Folder 02,Folder,02,14178,14184,6
SEG_0124,Folder 02,Folder,02,14185,14192,7
SEG_0126,Folder 02,Folder,02,14195,14200,5
SEG_0128,Folder 02,Folder,02,14203,14206,3
SEG_0130,Folder 02,Folder,02,14209,14212,3
SEG_0132,Folder 02,Folder,02,14215,14219,4
SEG_0133,Folder 02,Folder,02,14220,14223,3
SEG_0135,Folder 02,Folder,02,14226,14229,3
SEG_0137,Folder 02,Folder,02,14232,14237,5
SEG_0139,Folder 02,Folder,02,14240,14245,5
SEG_0141,Folder 02,Folder,02,14248,14254,6
SEG_0142,Folder 02,Folder,02,14255,14260,5
SEG_0144,Folder 02,Folder,02,14263,14266,3
SEG_0146,Folder 02,Folder,02,14269,14272,3
SEG_0148,Folder 02,Folder,02,14275,14282,7
SEG_0150,Folder 02,Folder,02,14285,14291,6
SEG_0151,Folder 02,Folder,02,14292,14295,3
SEG_0153,Folder 02,Folder,02,14298,14301,3
SEG_0155,Folder 02,Folder,02,14304,14321,17
SEG_0157,Folder 02,Folder,02,14324,14329,5
SEG_0159,Folder 02,Folder,02,14332,14340,8
SEG_0160,Folder 02,Folder,02,14341,14344,3
SEG_0162,Folder 02,Folder,02,14347,14352,5
SEG_0164,Folder 02,Folder,02,14355,14364,9
SEG_0166,Folder 02,Folder,02,14367,14374,7
SEG_0168,Folder 02,Folder,02,14377,14381,4
SEG_0169,Folder 02,Folder,02,14382,14385,3
SEG_0171,Folder 02,Folder,02,14388,14391,3
SEG_0173,Folder 02,Folder,02,14394,14399,5
SEG_0175,Folder 02,Folder,02,14402,14405,3
SEG_0177,Folder 02,Folder,02,14408,14412,4
SEG_0178,Folder 02,Folder,02,14413,14416,3
SEG_0180,Folder 02,Folder,02,14419,14422,3
SEG_0182,Folder 02,Folder,02,14425,14428,3
SEG_0184,Folder 02,Folder,02,14431,14434,3
SEG_0186,Folder 02,Folder,02,14437,14441,4
SEG_0187,Folder 03,Folder,03,14442,14447,5
SEG_0189,Folder 03,Folder,03,14450,14455,5
SEG_0191,Folder 03,Folder,03,14458,14465,7
SEG_0193,Folder 03,Folder,03,14468,14473,5
SEG_0195,Folder 03,Folder,03,14476,14482,6
SEG_0196,Folder 03,Folder,03,14483,14488,5
SEG_0198,Folder 03,Folder,03,14491,14496,5
SEG_0200,Folder 03,Folder,03,14499,14506,7
SEG_0202,Folder 03,Folder,03,14509,14514,5
SEG_0204,Folder 03,Folder,03,14517,14523,6
SEG_0205,Folder 03,Folder,03,14524,14529,5
SEG_0207,Folder 03,Folder,03,14532,14537,5
SEG_0209,Folder 03,Folder,03,14540,14547,7
SEG_0211,Folder 03,Folder,03,14550,14555,5
SEG_0213,Folder 03,Folder,03,14558,14564,6
SEG_0214,Folder 03,Folder,03,14565,14570,5
SEG_0216,Folder 03,Folder,03,14573,14578,5
SEG_0218,Folder 03,Folder,03,14581,14586,5
SEG_0220,Folder 03,Folder,03,14589,14594,5
SEG_0222,Folder 03,Folder,03,14597,14603,6
SEG_0223,Folder 03,Folder,03,14604,14609,5
SEG_0225,Folder 03,Folder,03,14612,14617,5
SEG_0227,Folder 03,Folder,03,14620,14625,5
SEG_0229,Folder 03,Folder,03,14628,14637,9
SEG_0231,Folder 03,Folder,03,14640,14646,6
SEG_0232,Folder 03,Folder,03,14647,14652,5
SEG_0234,Folder 03,Folder,03,14655,14660,5
SEG_0236,Folder 03,Folder,03,14663,14670,7
SEG_0238,Folder 03,Folder,03,14673,14678,5
SEG_0240,Folder 03,Folder,03,14681,14687,6
SEG_0241,Folder 03,Folder,03,14688,14693,5
SEG_0243,Folder 03,Folder,03,14696,14701,5
SEG_0245,Folder 03,Folder,03,14704,14709,5
SEG_0247,Folder 03,Folder,03,14712,14717,5
SEG_0249,Folder 03,Folder,03,14720,14730,10
SEG_0250,Folder 03,Folder,03,14731,14736,5
SEG_0252,Folder 03,Folder,03,14739,14744,5
SEG_0254,Folder 03,Folder,03,14747,14752,5
SEG_0256,Folder 03,Folder,03,14755,14760,5
SEG_0258,Folder 03,Folder,03,14763,14769,6
SEG_0259,Folder 03,Folder,03,14770,14775,5
SEG_0261,Folder 03,Folder,03,14778,14783,5
SEG_0263,Folder 03,Folder,03,14786,14791,5
SEG_0265,Folder 03,Folder,03,14794,14799,5
SEG_0267,Folder 03,Folder,03,14802,14808,6
SEG_0268,Folder 03,Folder,03,14809,14814,5
SEG_0270,Folder 03,Folder,03,14817,14824,7
SEG_0272,Folder 03,Folder,03,14827,14832,5
SEG_0274,Folder 03,Folder,03,14835,14842,7
SEG_0276,Folder 03,Folder,03,14845,14851,6
SEG_0277,Folder 03,Folder,03,14852,14857,5
SEG_0279,Folder 03,Folder,03,14860,14865,5
SEG_0281,Folder 03,Folder,03,14868,14873,5
SEG_0283,Folder 03,Folder,03,14876,14881,5
SEG_0285,Folder 03,Folder,03,14884,14890,6
SEG_0286,Folder 03,Folder,03,14891,14896,5
SEG_0288,Folder 03,Folder,03,14899,14904,5
SEG_0290,Folder 03,Folder,03,14907,14912,5
SEG_0292,Folder 03,Folder,03,14915,14920,5
SEG_0294,Folder 03,Folder,03,14923,14929,6
SEG_0295,Folder 03,Folder,03,14930,14935,5
SEG_0297,Folder 03,Folder,03,14938,14943,5
SEG_0299,Folder 03,Folder,03,14946,14951,5
SEG_0301,Folder 03,Folder,03,14954,14959,5
SEG_0303,Folder 03,Folder,03,14962,14968,6
SEG_0304,Folder 03,Folder,03,14969,14974,5
SEG_0306,Folder 03,Folder,03,14977,14982,5
SEG_0308,Folder 03,Folder,03,14985,14990,5
SEG_0310,Folder 03,Folder,03,14993,14998,5
SEG_0312,Folder 03,Folder,03,15001,15007,6
SEG_0313,Folder 03,Folder,03,15008,15013,5
SEG_0315,Folder 03,Folder,03,15016,15021,5
SEG_0317,Folder 03,Folder,03,15024,15029,5
SEG_0319,Folder 03,Folder,03,15032,15037,5
SEG_0321,Folder 03,Folder,03,15040,15046,6
SEG_0322,Folder 03,Folder,03,15047,15052,5
SEG_0324,Folder 03,Folder,03,15055,15064,9
SEG_0326,Folder 03,Folder,03,15067,15076,9
SEG_0328,Folder 03,Folder,03,15079,15084,5
SEG_0330,Folder 03,Folder,03,15087,15093,6
SEG_0331,Folder 03,Folder,03,15094,15099,5
SEG_0333,Folder 03,Folder,03,15102,15107,5
SEG_0335,Folder 03,Folder,03,15110,15115,5
SEG_0337,Folder 03,Folder,03,15118,15125,7
SEG_0339,Folder 03,Folder,03,15128,15138,10
SEG_0340,Folder 03,Folder,03,15139,15144,5
SEG_0342,Folder 03,Folder,03,15147,15152,5
SEG_0344,Folder 03,Folder,03,15155,15163,8
SEG_0345,Folder 22,Folder,22,15164,15169,5
SEG_0347,Folder 22,Folder,22,15172,15189,17
SEG_0349,Folder 22,Folder,22,15192,15203,11
SEG_0351,Folder 22,Folder,22,15206,15221,15
SEG_0353,Folder 22,Folder,22,15224,15236,12
SEG_0354,Folder 22,Folder,22,15237,15248,11
SEG_0356,Folder 22,Folder,22,15251,15262,11
SEG_0358,Folder 22,Folder,22,15265,15276,11
SEG_0360,Folder 22,Folder,22,15279,15288,9
SEG_0362,Folder 22,Folder,22,15291,15325,34
SEG_0363,Folder 22,Folder,22,15326,15335,9
SEG_0365,Folder 22,Folder,22,15338,15345,7
SEG_0367,Folder 22,Folder,22,15348,15365,17
SEG_0369,Folder 22,Folder,22,15368,15383,15
SEG_0371,Folder 22,Folder,22,15386,15398,12
SEG_0372,Folder 22,Folder,22,15399,15408,9
SEG_0374,Folder 22,Folder,22,15411,15424,13
SEG_0376,Folder 22,Folder,22,15427,15436,9
SEG_0378,Folder 22,Folder,22,15439,15450,11
SEG_0380,Folder 22,Folder,22,15453,15463,10
SEG_0381,Folder 22,Folder,22,15464,15473,9
SEG_0383,Folder 22,Folder,22,15476,15485,9
SEG_0385,Folder 22,Folder,22,15488,15503,15
SEG_0387,Folder 22,Folder,22,15506,15517,11
SEG_0389,Folder 22,Folder,22,15520,15528,8
SEG_0390,Folder 22,Folder,22,15529,15536,7
SEG_0392,Folder 22,Folder,22,15539,15550,11
SEG_0394,Folder 22,Folder,22,15553,15560,7
SEG_0396,Folder 22,Folder,22,15563,15574,11
SEG_0398,Folder 22,Folder,22,15577,15585,8
SEG_0399,Folder 22,Folder,22,15586,15597,11
SEG_0401,Folder 22,Folder,22,15600,15615,15
SEG_0403,Folder 22,Folder,22,15618,15631,13
SEG_0405,Folder 22,Folder,22,15634,15651,17
SEG_0407,Folder 22,Folder,22,15654,15668,14
SEG_0408,Folder 22,Folder,22,15669,15688,19
SEG_0410,Folder 22,Folder,22,15691,15714,23
SEG_0412,Folder 22,Folder,22,15717,15728,11
SEG_0414,Folder 22,Folder,22,15731,15740,9
SEG_0416,Folder 22,Folder,22,15743,15753,10
SEG_0417,Folder 22,Folder,22,15754,15765,11
SEG_0419,Folder 22,Folder,22,15768,15779,11
SEG_0421,Folder 22,Folder,22,15782,15797,15
SEG_0423,Folder 22,Folder,22,15800,15805,5
SEG_0425,Folder 22,Folder,22,15808,15814,6
SEG_0426,Folder 22,Folder,22,15815,15820,5
SEG_0428,Folder 22,Folder,22,15823,15836,13
SEG_0430,Folder 22,Folder,22,15839,15848,9
SEG_0432,Folder 22,Folder,22,15851,15866,15
SEG_0434,Folder 22,Folder,22,15869,15881,12
SEG_0435,Folder 22,Folder,22,15882,15885,3
SEG_0437,Folder 22,Folder,22,15888,15901,13
SEG_0439,Folder 22,Folder,22,15904,15919,15
SEG_0441,Folder 22,Folder,22,15922,15937,15
SEG_0443,Folder 22,Folder,22,15940,15944,4
SEG_0444,Folder 22,Folder,22,15945,15948,3
SEG_0446,Folder 22,Folder,22,15951,15954,3
SEG_0448,Folder 22,Folder,22,15957,15960,3
SEG_0450,Folder 22,Folder,22,15963,15966,3
SEG_0452,Folder 22,Folder,22,15969,15973,4
SEG_0453,Folder 22,Folder,22,15974,15977,3
SEG_0455,Folder 22,Folder,22,15980,15983,3
SEG_0457,Folder 22,Folder,22,15986,15989,3
SEG_0459,Folder 22,Folder,22,15992,15995,3
SEG_0461,Folder 22,Folder,22,15998,16002,4
SEG_0462,Folder 22,Folder,22,16003,16006,3
SEG_0464,Folder 22,Folder,22,16009,16012,3
SEG_0466,Folder 22,Folder,22,16015,16018,3
SEG_0468,Folder 22,Folder,22,16021,16024,3
SEG_0470,Folder 22,Folder,22,16027,16031,4
SEG_0471,Folder 22,Folder,22,16032,16035,3
SEG_0473,Folder 22,Folder,22,16038,16041,3
SEG_0475,Folder 22,Folder,22,16044,16047,3
SEG_0477,Folder 22,Folder,22,16050,16053,3
SEG_0479,Folder 22,Folder,22,16056,16060,4
SEG_0480,Folder 22,Folder,22,16061,16064,3
SEG_0482,Folder 22,Folder,22,16067,16070,3
SEG_0484,Folder 22,Folder,22,16073,16076,3
SEG_0486,Folder 22,Folder,22,16079,16082,3
SEG_0488,Folder 22,Folder,22,16085,16089,4
SEG_0489,Folder 22,Folder,22,16090,16093,3
SEG_0491,Folder 22,Folder,22,16096,16099,3
SEG_0493,Folder 22,Folder,22,16102,16105,3
SEG_0495,Folder 22,Folder,22,16108,16111,3
SEG_0497,Folder 22,Folder,22,16114,16118,4
SEG_0498,Folder 22,Folder,22,16119,16122,3
SEG_0500,Folder 22,Folder,22,16125,16128,3
SEG_0502,Folder 22,Folder,22,16131,16134,3
SEG_0504,Folder 22,Folder,22,16137,16140,3
SEG_0506,Folder 22,Folder,22,16143,16147,4
SEG_0507,Folder 22,Folder,22,16148,16151,3
SEG_0509,Folder 22,Folder,22,16154,16157,3
SEG_0511,Folder 22,Folder,22,16160,16163,3
SEG_0513,Folder 22,Folder,22,16166,16169,3
SEG_0515,Folder 22,Folder,22,16172,16176,4
SEG_0516,Folder 22,Folder,22,16177,16180,3
SEG_0518,Folder 22,Folder,22,16183,16186,3
SEG_0520,Folder 22,Folder,22,16189,16192,3
SEG_0522,Folder 22,Folder,22,16195,16198,3
SEG_0524,Folder 22,Folder,22,16201,16205,4
SEG_0525,Folder 22,Folder,22,16206,16209,3
SEG_0527,Folder 22,Folder,22,16212,16215,3
SEG_0529,Folder 22,Folder,22,16218,16221,3
SEG_0531,Folder 22,Folder,22,16224,16227,3
SEG_0533,Folder 22,Folder,22,16230,16234,4
SEG_0534,Folder 22,Folder,22,16235,16238,3
SEG_0536,Folder 22,Folder,22,16241,16244,3
SEG_0538,Folder 22,Folder,22,16247,16250,3
SEG_0540,Folder 22,Folder,22,16253,16256,3
SEG_0542,Folder 22,Folder,22,16259,16263,4
SEG_0543,Folder 22,Folder,22,16264,16267,3
SEG_0545,Folder 22,Folder,22,16270,16273,3
SEG_0547,Folder 22,Folder,22,16276,16279,3
SEG_0549,Folder 22,Folder,22,16282,16285,3
SEG_0551,Folder 22,Folder,22,16288,16293,5
SEG_0552,Folder 22,Folder,22,16294,16297,3
SEG_0554,Folder 22,Folder,22,16300,16303,3
SEG_0556,Folder 22,Folder,22,16306,16310,4
SEG_0557,Folder 20,Folder,20,16311,16332,21
SEG_0559,Folder 20,Folder,20,16335,16340,5
SEG_0561,Folder 20,Folder,20,16343,16348,5
SEG_0563,Folder 20,Folder,20,16351,16356,5
SEG_0565,Folder 20,Folder,20,16359,16369,10
SEG_0566,Folder 20,Folder,20,16370,16375,5
SEG_0568,Folder 20,Folder,20,16378,16383,5
SEG_0570,Folder 20,Folder,20,16386,16393,7
SEG_0572,Folder 20,Folder,20,16396,16401,5
SEG_0574,Folder 20,Folder,20,16404,16410,6
SEG_0575,Folder 20,Folder,20,16411,16420,9
SEG_0577,Folder 20,Folder,20,16423,16428,5
SEG_0579,Folder 20,Folder,20,16431,16436,5
SEG_0581,Folder 20,Folder,20,16439,16444,5
SEG_0583,Folder 20,Folder,20,16447,16453,6
SEG_0584,Folder 20,Folder,20,16454,16459,5
SEG_0586,Folder 20,Folder,20,16462,16469,7
SEG_0588,Folder 20,Folder,20,16472,16477,5
SEG_0590,Folder 20,Folder,20,16480,16491,11
SEG_0592,Folder 20,Folder,20,16494,16500,6
SEG_0593,Folder 20,Folder,20,16501,16506,5
SEG_0595,Folder 20,Folder,20,16509,16522,13
SEG_0597,Folder 20,Folder,20,16525,16530,5
SEG_0599,Folder 20,Folder,20,16533,16540,7
SEG_0601,Folder 20,Folder,20,16543,16549,6
SEG_0602,Folder 20,Folder,20,16550,16555,5
SEG_0604,Folder 20,Folder,20,16558,16567,9
SEG_0606,Folder 20,Folder,20,16570,16577,7
SEG_0608,Folder 20,Folder,20,16580,16587,7
SEG_0610,Folder 20,Folder,20,16590,16596,6
SEG_0611,Folder 20,Folder,20,16597,16602,5
SEG_0613,Folder 20,Folder,20,16605,16610,5
SEG_0615,Folder 20,Folder,20,16613,16618,5
SEG_0617,Folder 20,Folder,20,16621,16626,5
SEG_0619,Folder 20,Folder,20,16629,16635,6
SEG_0620,Folder 20,Folder,20,16636,16641,5
SEG_0622,Folder 20,Folder,20,16644,16649,5
SEG_0624,Folder 20,Folder,20,16652,16657,5
SEG_0626,Folder 20,Folder,20,16660,16665,5
SEG_0628,Folder 20,Folder,20,16668,16674,6
SEG_0629,Folder 20,Folder,20,16675,16680,5
SEG_0631,Folder 20,Folder,20,16683,16688,5
SEG_0633,Folder 20,Folder,20,16691,16698,7
SEG_0635,Folder 20,Folder,20,16701,16706,5
SEG_0637,Folder 20,Folder,20,16709,16715,6
SEG_0638,Folder 20,Folder,20,16716,16721,5
SEG_0640,Folder 20,Folder,20,16724,16729,5
SEG_0642,Folder 20,Folder,20,16732,16737,5
SEG_0644,Folder 20,Folder,20,16740,16745,5
SEG_0646,Folder 20,Folder,20,16748,16754,6
SEG_0647,Folder 20,Folder,20,16755,16760,5
SEG_0649,Folder 20,Folder,20,16763,16768,5
SEG_0651,Folder 20,Folder,20,16771,16776,5
SEG_0653,Folder 20,Folder,20,16779,16784,5
SEG_0655,Folder 20,Folder,20,16787,16793,6
SEG_0656,Folder 21,Folder,21,16794,16799,5
SEG_0658,Folder 21,Folder,21,16802,16805,3
SEG_0660,Folder 21,Folder,21,16808,16817,9
SEG_0662,Folder 21,Folder,21,16820,16827,7
SEG_0664,Folder 21,Folder,21,16830,16842,12
SEG_0665,Folder 21,Folder,21,16843,16852,9
SEG_0667,Folder 21,Folder,21,16855,16864,9
SEG_0669,Folder 21,Folder,21,16867,16874,7
SEG_0671,Folder 21,Folder,21,16877,16886,9
SEG_0673,Folder 21,Folder,21,16889,16895,6
SEG_0674,Folder 21,Folder,21,16896,16905,9
SEG_0676,Folder 21,Folder,21,16908,16913,5
SEG_0678,Folder 21,Folder,21,16916,16921,5
SEG_0680,Folder 21,Folder,21,16924,16931,7
SEG_0682,Folder 21,Folder,21,16934,16944,10
SEG_0683,Folder 21,Folder,21,16945,16952,7
SEG_0685,Folder 21,Folder,21,16955,16960,5
SEG_0687,Folder 21,Folder,21,16963,16968,5
SEG_0689,Folder 21,Folder,21,16971,16976,5
SEG_0691,Folder 21,Folder,21,16979,16985,6
SEG_0692,Folder 21,Folder,21,16986,16993,7
SEG_0694,Folder 21,Folder,21,16996,17001,5
SEG_0696,Folder 21,Folder,21,17004,17017,13
SEG_0698,Folder 21,Folder,21,17020,17031,11
SEG_0700,Folder 21,Folder,21,17034,17046,12
SEG_0701,Folder 21,Folder,21,17047,17056,9
SEG_0703,Folder 21,Folder,21,17059,17064,5
SEG_0705,Folder 21,Folder,21,17067,17072,5
SEG_0707,Folder 21,Folder,21,17075,17080,5
SEG_0709,Folder 21,Folder,21,17083,17089,6
SEG_0710,Folder 21,Folder,21,17090,17095,5
SEG_0712,Folder 21,Folder,21,17098,17103,5
SEG_0714,Folder 21,Folder,21,17106,17111,5
SEG_0716,Folder 21,Folder,21,17114,17119,5
SEG_0718,Folder 21,Folder,21,17122,17130,8
SEG_0719,Folder 21,Folder,21,17131,17142,11
SEG_0721,Folder 21,Folder,21,17145,17150,5
SEG_0723,Folder 21,Folder,21,17153,17158,5
SEG_0725,Folder 21,Folder,21,17161,17166,5
SEG_0727,Folder 21,Folder,21,17169,17179,10
SEG_0728,Folder 21,Folder,21,17180,17185,5
SEG_0730,Folder 21,Folder,21,17188,17193,5
SEG_0732,Folder 21,Folder,21,17196,17201,5
SEG_0734,Folder 21,Folder,21,17204,17211,7
SEG_0736,Folder 21,Folder,21,17214,17220,6
SEG_0737,Folder 21,Folder,21,17221,17226,5
SEG_0739,Folder 21,Folder,21,17229,17236,7
SEG_0741,Folder 21,Folder,21,17239,17244,5
SEG_0743,Folder 21,Folder,21,17247,17252,5
SEG_0745,Folder 21,Folder,21,17255,17261,6
SEG_0746,Folder 21,Folder,21,17262,17267,5
SEG_0748,Folder 21,Folder,21,17270,17275,5
SEG_0750,Folder 21,Folder,21,17278,17283,5
SEG_0752,Folder 21,Folder,21,17286,17291,5
SEG_0754,Folder 21,Folder,21,17294,17300,6
SEG_0755,Folder 21,Folder,21,17301,17306,5
SEG_0757,Folder 21,Folder,21,17309,17314,5
SEG_0759,Folder 21,Folder,21,17317,17322,5
SEG_0761,Folder 21,Folder,21,17325,17332,7
SEG_0763,Folder 21,Folder,21,17335,17341,6
SEG_0764,Folder 21,Folder,21,17342,17347,5
